ssoc,title,description
31399,Other process control technicians n.e.c.,"This group covers process control technicians not elsewhere classified in Minor Group 313 'Process Control Technicians'. For instance, the group includes those who operate multiple process control equipment in manufacturing assembly lines and paper and pulp production."
31411,Biological technician,"Biological technician provides technical assistance in researching and analysing the relationship between living organisms and their environment. He/she sets up laboratory instruments and equipment, collects and analyses data for experiments and examines organic substances such as bodily fluids, drugs, plants and food. He/she also compiles reports and maintains laboratory stock."
31412,Clinical research coordinator,"Clinical research coordinator plans, directs, or coordinates clinical research projects. He/she assists to schedule and perform research-related procedures and follow-ups to clinical studies, in compliance with protocols, guidelines and other regulatory and ethical requirements, liaises between clinical trial sponsors and investigators and coordinates study-related finances and logistics. He/she enters and validates study data, extracts relevant information from medical records, performs counselling to patients and families and also handles administration work."
31419,Other life science technicians,This group includes life science technicians not elsewhere classified.
31421,Horticultural technician (including irrigation specialist),"Horticultural technician provides technical support in the preparation of soil specimens, and helps to identify pathogenic micro-organisms and insects, parasites, fungi and weeds harmful to crops. He/she conducts tests and experiments to improve yield and quality of crops or to increase the resistance of plants to disease or insects, assists in devising methods of control against attacks on crops, and conducts or supervises production programmes. He/she nurtures plants and operates equipment and machinery to facilitate daily work. He/she may also transport and set up greenery for clients at various locations."
31422,Plant tissue culture technician,"Plant tissue culture technician provides technical support in the initiation of explants from mother plants, transfer of existing plant tissue cultures, selection of appropriate media for optimal plant culture growth, micro propagation, and also implements sterile techniques with minimal contamination."
31423,Farming technician (animal production),"Farming technician (animal production) assists agricultural scientists by providing technical support in the preparation of specimens such as animal cells, tissues or parts or animal organs and the conduct of experiments, tests and analysis. He/she assists in devising preventive controls against outbreak of diseases on livestock, and conducts or supervises operational programmes such as fish hatchery and livestock production programmes."
31510,"Marine engineering officer (including third, fourth and fifth engineer)","Marine engineering officer controls, supervises and participates in the operation, performance, maintenance and repair of mechanical, electrical and electronic equipment and machinery on board ship."
31521,"Ship's deck navigating officer (including second, third and fourth mate)","Ship's deck navigating officer plans, supervises and coordinates deck and bridge-watch activities on seagoing or inland waterways vessel. He/she assists the ship master in navigation of vessel in accordance with his/her instructions through determining position and course of vessel by use of charts, compasses, radar and other navigational aids."
31522,Harbour pilot,"Harbour pilot provides pilotage and berthing services, and ensures the safe and expedient movement of ships entering and departing the port. He/she complies with port regulations and emergency response plans."
31529,Other ships' deck officers and pilots,This group includes ships' deck officers and pilots not elsewhere classified.
31540,Air traffic controller,"Air traffic controller directs aircraft movements in airspace and on the ground, using radio, radar and lighting systems and provides information relevant to the operation of aircraft."
31560,Sea traffic controller,"Sea traffic controller commands, navigates and directs ships, using radio and radar. He/she provides information and directions to ensure safe and efficient movement and operation of ships."
31571,Air transport service supervisor,"Air transport service supervisor supervises airport and airline operations and activities such as baggage, ramp, cargo, load control, in-flight catering, and passenger/customer services. He/she maintains the lines of communication with the various stakeholders during flight disruptions. He/she enforces passenger safety and security standards and investigates the root causes of safety and security breaches."
31572,Train service supervisor,"Train service supervisor supervises train service and station operations and activities. He/she supervises the station staff and executes crew (re)deployment plans to maintain train service standards and reliability, as well as safety standards of train operations. He/she conducts regular inspections of station premises and facilities to ensure station equipment are operational. He/she manages service and repair requirements for station equipment and facilities, and carries out access control for maintenance teams and/or service providers to perform maintenance work on rail systems and/or station facilities."
31573,Road transport supervisor,Road transport supervisor supervises road transport (e.g. bus) and depot operations and activities. He/she oversees day-to-day depot and interchange operations and manages the deport and interchange's facilities and security. He/she monitors and regulates the road transport services and (re)deployment of drivers to ensure service reliability.
31574,Port/Shipping operations supervisor (including post-fixture and planner),"Port/Shipping operations supervisor supervises port and shipping operations and activities. He/she oversees the planning and sequencing of the loading and unloading of cargo from ships, the placement of cargo in the yard and the lashing operations. He/she monitors a ship schedule and its status before arrival at the ports, the delivery and re-delivery notices for ships and arranges for hire payments."
31579,Other transport operations supervisors,This group includes transport operations supervisors not elsewhere classified.
31591,Port master/Dockmaster,"Port master/Dockmaster supervises and coordinates activities of workers engaged in docking vessels for cleaning, painting and repair. He/she analyses vessel's blueprints and specifications to determine size, shape and number of keel and bilge blocks required to support vessel. He/she oversees flooding operations and removal of vessel from dock."
31592,Port captain,"Port captain commands or supervises operations of ships and water vessels, such as tugboats and ferryboats. He/she ensures vessel comply with legal requirements, and conducts investigation and analysis for any non-conformances, accidents, hazardous occurrences."
31593,Flight operations officer,"Flight operations officer coordinates flight planning and assists in monitoring of aircraft performance, movements, operating conditions and en-route operations. He/she gives landing and departure authorisation and instruction, examines weather data and determines changes to the flight routes. He/she advises pilots-in-command accordingly in all matters affecting diversions in addition to liaising and co-ordinating with relevant parties to minimise flight delays and passenger inconvenience."
31594,Air cargo officer,"Air cargo officer receives and despatches cargo and mail through aircraft while ensuring that they meet safety, security and airworthiness standards. He/she performs stock control and housekeeping operations to ensure that shipments are arranged, received, handled and stored properly according to Standard Operating Procedures (SOP) and handling requirements."
31595,Load control officer (aircraft),"Load-sheet officer (aircraft) ensures that structural weights of an aircraft are within safety parameters and performs weight, balance, and centre of gravity calculations for departing flights. He/she gives instructions to loading clerks on placement of cargo and mail on aircraft in addition to completing load sheet and presenting to flight commander."
31596,Train operations officer,"Train operations officer operates trains and provides passenger transport services in a safe manner while respecting all relevant safety, operational and communication regulations."
31597,Road transport operations officer,"Road transport operations officer performs day-to-day operations to support road transport services such as bus service to serve passengers. He/she monitors and regulates road transport arrival and departure timings, (re)deploys drivers to operate service routes, and conducts road transport checks to ensure service readiness. He/she responds to emergencies and restores road transport service, as well as assists in the investigation and documentation of incidents and/or accidents. He/she also takes on administrative duties in data compilation, performing traffic and crowd control and daily security checks, and providing support to respond to incidents and accidents."
31599,Other transport controllers and related workers n.e.c.,This group includes transport controllers and related workers not elsewhere classified.
31601,Premises and facilities maintenance officer,"Premises and facilities maintenance officer directs the operations of facilities that provide recreational services such as gardens, zoos and parks etc. He/she plans and organises the daily operations of the related staff and facilities and ensures the organisation follows the latest developments in its field."
31602,Landscape operations officer,"Landscape operations officer installs, manages and maintains indoor or outdoor green spaces to customer requirements. He/she upkeeps an estate or park and oversees the proper management and maintenance of trees, shrubs and premises facilities."
31603,Parks officer,Parks officer implements the park management work plan. He/she creates events and programmes to promote the use of parks and provides information about the parks and their activities and programmes to park users.
31711,Fire and safety inspector,Fire and safety inspector enforces the rules and regulations relating to fire prevention and other hazards and occupational safety. He/she detects and eliminates or reduces fire hazards in industrial plants and other establishments by using instruments and conducting special tests to determine the conditions.
31719,Other building and fire inspectors,This group includes building and fire inspectors not elsewhere classified.
31720,"Safety inspector (vehicles, processes and products)","Safety inspector (vehicles, processes and products) enforces the rules and regulations relating to safety of production processes, as well as quality standards relating to goods and services produced, used or sold. He/she may also administer and regulate quality standards manufacturing specifications."
32111,Sonographer,Sonographer produces ultrasonic recordings of internal organs for use by physicians. He/she operates or oversees operation of ultrasound and produces images of the body for diagnostic purposes while monitoring patients' conditions and reactions for abnormal signs.
32112,Medical X-ray technician,"Medical X-ray technician operates X-ray equipment to make radiographs for medical diagnostic purposes or give therapeutic treatment. He/she prepares patient for exposure to rays and, when necessary, fixes lead plates to protect parts of body not to be exposed to X-rays in addition to manipulating controls of machine to regulate the time and intensity of exposure."
32119,"Other medical imaging, therapeutic equipment technicians and related associate professionals","This group includes medical imaging, therapeutic equipment technicians and related associate professionals not elsewhere classified."
32120,Medical and pathology laboratory technician,"Medical and pathology laboratory technician performs clinical tests on specimens of bodily fluids and tissues in order to obtain information about the health of a patient or cause of death. He/she conducts analysis of human tissues and body fluids, including blood, bone marrow, urine, amniotic fluid, etc. He/she operates, calibrates and maintains simple instruments used in quantitative and qualitative analysis such as glucometer, Hemoglobin A1c (HBA1c) meter, bilirunometer, full blood count (FBC) analyser and light microscope."
32130,Pharmacy technician,"Pharmacy technician performs a variety of tasks associated with dispensing medicinal products under the guidance of a pharmacist or other health professional. He/she performs drug compounding by processing orders and preparing sterile and non-sterile products, and managing inventory and maintaining proper records and functioning of facilities."
32141,Prosthetist and orthotist,"Prosthetist and orthotist assesses patients and designs and fits suitable support instruments for individuals who have impairments, deficiencies or weaknesses due to injury, pathology or congenital malformation. He/she educates patients on how to use and maintain support instruments properly."
32142,Prosthetic and orthotic technician,"Prosthetic and orthotic technician designs, creates, fits and repairs support instruments, such as braces, joints, arch supports, and other surgical and medical appliances. He/she determines the most suitable material and tools to use to build the prosthetic limb or medical appliance with the aid of digital imaging techniques, computer-aided design (CAD) and computer-aided manufacturing (CAM)."
32143,Dental technician,"Dental technician makes and repairs dentures and other dental aid. He/she makes plaster casts for upper and lower jaws from wax impressions taken by dentist and fabricates inlays, crown and bridge-work and other prostheses aids according to specifications."
32200,Enrolled/Assistant nurse (excluding registered nurse),"Enrolled/Assistant nurse (excluding registered nurse) provides basic nursing and personal care for people in need of such care due to effects of ageing, illness, injury or other physical or mental impairment. He/she generally works under the supervision of, and in support of, implementation of health care, treatment and referrals plans established by medical, nursing and other health professionals."
32300,Traditional and complementary medicine associate professional (e.g. homeopath and naturopath),"Traditional and complementary medicine associate professional prevents and treats human physical and mental illnesses, disorders and injuries using herbal and other therapies based on theories, beliefs and experiences originating in specific cultures."
32400,Veterinary technician/assistant,"Veterinary technician/assistant carries out advisory, diagnostic, preventive and curative veterinary tasks, more limited in scope and complexity than those carried out by, and with the guidance of veterinarians. He/she cares for animals under treatment and in temporary residence at veterinary facilities, performs routine procedures and assists veterinarians to perform procedures and operations."
32510,Oral health therapist (e.g. dental therapists and dental hygienists),"Oral health therapist provides basic dental care services for the prevention and treatment of diseases and disorders of the teeth and mouth, as per care plans and procedures established by a dentist or other oral health professional. He/she provides oral health assessment, diagnosis, treatment, management and preventive services. He/she collects data and administers comprehensive advice on oral hygiene and the care of the mouth, according to patients' needs under the supervision of dental practitioners."
32530,Community health worker,"Community health worker provides health education, referral and follow-up, case management, basic preventive health care and home visiting services to specific communities. He/she provides support and assistance to individuals and families in navigating the health and social services system."
32540,Optician,"Optician designs, fits and dispenses optical lenses based on a prescription from an ophthalmologist or optometrist for the correction of reduced visual acuity. He/she services corrective eyeglasses, contact lenses, low-vision aids and other optical devices."
32551,Massage therapist,"Massage therapist administers manual treatments such as massage therapy or pressure point therapy to patients in circumstances where functional movement is threatened by injury, disease or impairment. He/she monitors and records patients' progress during treatment, including measuring their range-of-joint motion and vital signs."
32559,Other physiotherapy technicians and related associated professionals,This group includes physiotherapy technicians and related associated professionals not elsewhere classified.
32571,Environmental inspector (environmental public health),"Environmental inspector (environmental public health) inspects the environment, promotes measures to restore or improve sanitary conditions, and supervises their implementation. He/she gives advice on environmental sanitary problems and initiates action to maintain the hygienic quality."
32572,Occupational health and safety inspector,Occupational health and safety inspector performs workplace audits to ensure compliance with government and environment legislation. He/she investigates work accidents and interviews employees to ensure the work environment is compliant with health and safety rules.
32591,Paramedic,"Paramedic provides emergency care to sick, injured, and vulnerable persons in emergency medical situations, before and during transport to a medical facility. He/she provides assistance in acute situations and implements life-saving emergency measures."
32599,Other health associate professionals n.e.c.,This group includes health associate professionals not elsewhere classified.
33121,Financial markets back office administrator,"Financial markets back office administrator performs operational or administrative tasks such as documentation, reconciliation and transaction processing support for the financial markets transactions. He/she processes financial products transactions such as securities, derivatives, foreign exchange and commodities."
33129,Other credit and loans officers,This group includes credit and loans officers not elsewhere classified.
33131,Assistant accountant,"Assistant accountant maintains complete records of financial transactions such as sales, purchase, receivables, payables and cash transactions of an undertaking. He/she verifies accuracy of documents and records relating to such transactions. He/she assists in accounts analysis and reconciliation process, budgeting and forecasting process."
33132,Audit associate professional,Audit associate professional supports his/her reporting officer and/or audit team in delivering audit services. He/she undertakes specific stages of audit work under supervision.
33133,Tax associate professional,"Tax associate professional supports his/her reporting officer and/or tax team in delivering tax services. He/she undertakes tax assignments such as assisting in the liaison between clients, tax authority, internal stakeholders and external tax agents, and preparation of tax computation, tax schedules and statutory filings."
33151,Appraiser/Valuer (excluding intangible asset valuer),"Appraiser/Valuer (excluding intangible asset valuer) determines the value of real estate, industrial equipment, personal and household effects, works of art, gems and other articles, by examining them for condition and authenticity. He/she inspects and examines real estate or articles in question using experience and knowledge, scientific tests and original prices to arrive at an estimate of current market value."
33152,Assessor,"Assessor assesses the extent of damage or loss and liabilities of insurance companies and underwriters for losses covered by insurance policies. He/she evaluates insurance claims by investigating the cases and determining liability and damage, in accordance with the policies of the insurance company. He/she interviews the claimant and witnesses and writes reports for the insurer and makes recommendations for the settlement of claims."
33153,Intangible asset valuer (e.g. Intellectual property valuation analyst),Intangible asset valuer determines the value of intangible assets such as intellectual property by inspecting and examining the intangible asset in question using experience and knowledge.
33211,Insurance sales agent/broker (including independent financial planner),"Insurance sales agent/broker advises on and sells life, accident, automobile, liability, endowment, fire, marine and other types of insurance to new and established clients. He/she obtains information about customers' circumstances necessary to determine the appropriate type of insurance and conditions, negotiating with customers to determine the type and degree of risk for which insurance is required."
33219,Other insurance representatives and related associate professionals,This group includes insurance representatives and related associate professionals not elsewhere classified.
33221,Business development executive,"Business development executive implements sales strategies and business plans. He/she identifies potential new business avenues and platforms through the client base, prepares for, participates in and arranges for follow-up meetings with potential businesses. He/she supports relationship building with existing and new buyers and vendors, and organises events and roadshows."
33222,After sales adviser/Client account service executive,"After sales adviser/Client account service executive provides after-sales service support to customers, such as the installation, maintenance and repair of the sold products. He/she takes corrective actions to ensure customers' satisfaction."
33223,Marketing and sales executive (food & beverage services),Marketing and sales executive (food & beverage services) assists and coordinates food and beverage (F&B) related marketing and sales activities. He/she establishes excellent relationships and builds rapport for customer retention.
33224,Online sales channel executive,"Online sales channel executive defines the sales programme for e-commerce such as goods sold via e-mail, Internet and social media. He/she contributes to the growth of the e-commerce business by enhancing the customer experience, executing customer order fulfilment and maintaining the technology and infrastructure. He/she assists in the planning of the online sales strategy and in the identifying of marketing opportunities. He/she performs data analysis to generate data-driven commercial insights and manages relationships with partners."
33225,Merchandising/Category executive,"Merchandising/Category executive implements the merchandising plans and product category strategies, as well as manages partner relationships. He/she assists in the development and sourcing of products."
33229,Other commercial and marketing sales executives,This group includes commercial and marketing sales executives not elsewhere classified.
33231,Buyer,"Buyer buys goods for resale in wholesale and retail trade and studying market information on varieties, qualities and prices of goods available. He/she negotiates with suppliers on prices, credit terms, discounts for quantity and arranges delivery schedules. He/she authorises payment of invoices. He/she may price items for resale and oversee distribution of merchandise to outlets and maintain adequate stock levels."
33232,Purchasing agent,"Purchasing agent buys machinery, equipment, raw materials, services and other supplies for use by the enterprise. He/she ascertains the requirements of the enterprise and studies market information on varieties and qualities available. He/she interviews vendors to ascertain their ability to meet the organisation's specific requirements for design, performance, price and delivery. He/she may approve bills for payment."
33291,Intellectual property brokers and transaction specialist,"Intellectual property broker and transaction specialist assists clients to value, in monetary terms, intellectual property assets such as patents, copyrights, and trade marks. He/she performs intellectual property brokerage activities. He/she may advise clients on the legal procedures for protecting intellectual property assets and usage of such assets."
33299,Sales and related associate professionals n.e.c.,This group includes sales and related associate professionals not elsewhere classified.
33311,Clearing and forwarding agent,"Clearing and forwarding agent carries out customs clearing procedures for exports or imports, signs and issues bills of lading, checks import/export documentation to determine cargo contents, and classifies goods into different fee or tariff groups. He/she ensures goods are cleared through customs or quarantine in accordance with import and export laws and regulations."
33312,Shipping agent/Boarding officer,"Shipping agent/Boarding officer represents the ship owner in a foreign port. He/she ensures that insurance, licences and other formalities are in order. He/she processes all formalities and declarations to ensure smooth entry and departure of ships assigned. He/she may also review freight costs, negotiate rates with logistics and insurance companies and prepare quotes for customers."
33313,Freight inspector,"Freight inspector inspects freight with reference to freight forwarding documents and documents differences in specifications. He/she also inspects freight with reference to compliance with laws and regulations, including inspecting proper positioning, cushioning, restraining and balancing of cargo and inspecting safety."
33320,Exhibition/Conference/Event planner (including wedding planner/coordinator),"Exhibition/Conference/Event planner organises and coordinates services for conferences, events, functions, banquets and seminars."
33330,Employment agent/Labour contractor,"Employment agent/Labour contractor matches jobseekers with vacancies, finds workers for employers and contracts labour for particular projects at the request of enterprises and other organisations including government, institutions, or finds places for jobseekers for a commission."
33340,Real estate agent,"Real estate agent arranges the sale, purchase, rental and lease of real property for a fee."
33391,Auctioneer,"Auctioneer conducts sales of various kinds of new or used property and goods, such as real estate, furniture, and objects d'art by accepting bids and declaring goods sold. He/she arranges the place and date of auction sale and the order in which items are to be sold."
33392,Advertising salesman,"Advertising salesman sells advertising space in press and periodicals and advertising time on radio and television programmes. He/she visits prospective advertisers to explain the merits and coverage of his/her firm's publication or medium, discusses client's requirements and the most suitable media for obtaining best results from a given expenditure."
33393,International market agent/representative (e.g. junket operator),International market agent/representative performs marketing arrangements in or with respect to any casino to which the casino operator has given its endorsement.
33394,Safety and security consultant,"Safety and security consultant provides security audit, review and security risk assessment services to clients. He/she recommends security solutions/designs to existing and new structural development projects (public and private facilities) and develops and conducts security training."
33399,"Other business services agents n.e.c. (e.g. sports agent, artiste agent)",This group includes business services agents not elsewhere classified.
33461,Logistics/production planner,"Logistics/Production planner plans, develops, implements and evaluates logistics and production programmes to support the organisation's supply chain operations. He/she plans for the entire production supply chain from feedstock to production, storage and distribution, and analyses inventory and production data to optimise production and inventory control. He/she supports the reporting of plant production status and raw materials inventories, and highlights issues that may affect production output."
33462,Maintenance planner,Maintenance planner coordinates with stakeholders to plan and schedule routine and non-routine maintenance work to support plant operations. He/she optimises maintenance plans and schedules to minimise plant downtime and total maintenance cost.
33491,Management executive,"Management executive carries out general, non-specialised duties and implements policy decisions made by the management. He/she may make decisions on matters arising in the detailed implementation of such instructions."
33492,Operations officer (except transport operations),Operations officer (except transport operations) carries out operational duties in public or private sector organisations.
33493,Crewing executive (ship),"Crewing executive (ship) supervises or coordinates activities of crew aboard ships, boats, barges, or dredges."
33499,Other administrative and related associate professionals n.e.c.,This group includes administrative and related associate professionals not elsewhere classified.
33510,Customs/Immigration officer,"Customs/Immigration officer checks persons, vehicles and goods crossing national borders to administer and enforce relevant government rules and regulations."
33551,Police inspector,"Police inspector manages and supervises a team of police officers. He/she maintains law and order, investigates crimes and handles queries from the public. He/she may be rotated amongst investigation, command and staff postings."
33552,Auxiliary police officer supervisor,"Auxiliary police officer supervisor leads teams of security police officers to protect assigned premises, assets and personnel. He/she conducts team briefings prior to operations, makes critical decisions during operations, and conducts after action reviews."
33591,Government tax and excise official,"Government tax and excise official examines tax returns, bills of sale and other relevant documents to determine type and amount of taxes, duties and other types of fees to be paid. He/she implements policy to facilitate timely payment of tax by individuals and organisations. He/she also provides information and guidance concerning taxation legislation. He/she examines financial records to investigate fraud."
33592,Government social benefits official,"Government social benefits official advises individuals and organisations on government laws, rules and regulations concerning government benefit programmes and the determination and disbursement of payments or referral to services, as well as on the public's rights and obligations. He/she aids clients in the applications for benefits such as sickness, maternity, pensions, invalidity, unemployment and family benefits. He/she may investigate the client's right to benefits and suggest an appropriate course of action."
33593,Government licensing official,"Government licensing official processes licence applications and provides advice on licensing legislation. He/she performs investigative duties to ensure the applicant is eligible for the requested licence. He/she ensures that licence fees are paid in a timely manner, and also ensures compliance with legislation."
33599,Other government associate professionals n.e.c.,This group includes government associate professionals not elsewhere classified.
33611,Air transport equipment project executive,"Air transport equipment project executive monitors project status, engages and coordinates with engineers and technicians to meet air transport equipment project timelines. He/she formulates maintenance plans and monitors maintenance work of the projects."
33612,Rail transport equipment project executive,"Rail transport equipment project executive monitors project status, engages and coordinates with engineers and technicians to meet rail transport equipment project timelines. He/she formulates maintenance plans and monitors maintenance work of the projects."
33613,Road transport equipment project executive,"Road transport equipment project executive monitors project status, engages and coordinates with engineers and technicians to meet road transport equipment project timelines. He/she formulates maintenance plans and monitors maintenance work of the projects."
33614,Water transport equipment project executive,"Water transport equipment project executive monitors project status, engages and coordinates with engineers and technicians to meet water transport equipment project timelines. He/she formulates maintenance plans and monitor maintenance work of the projects."
33619,Other transport equipment project executives,This group includes transport equipment project executives not elsewhere classified.
34110,Legal associate professional (e.g. paralegal),"Legal associate professional performs support functions in courts of law or in law offices, provides services related to such legal matters as insurance contracts, intellectual property, the transferring of property and the granting of loans and other financial transactions or conducts investigations for clients."
34121,Youth work associate,"Youth work associate assists in providing interventions and programmes to youths. He/she supports the facilitation and assessments of casework, group work, community development and youth outreach programmes. He/she supports youth engagements through schools, public and cyber outreach."
34122,Social work associate,"Social work associate assists in providing interventions and programmes, and performing community development work. He/she assists in coordinating casework, group work and community development activities and programmes, supporting community events and performing administrative functions."
34123,Volunteer executive,"Volunteer executive coordinates recruitment activities for volunteers and matches them to the appropriate programmes and clients based on programme requirements and the interest of volunteers. He/she trains volunteers and also conducts volunteer recognition and engagement programmes. He/she conducts needs analysis for volunteer programmes, implements risk mitigation measures as well as volunteer management policies and processes, and works with programme managers to develop the requirements for the volunteer profile. He/she also maintains network and collaborates with social service organisations, community stakeholders, corporate partners and agencies for volunteer partnerships."
34210,Athlete/Sportsman,"Athlete/Sportsman participates in competitive sporting events. He/she trains and competes, either individually or as part of a team, in his/her chosen sport."
34221,Sports coach,"Sports coach works with amateur and professional sportspersons to enhance performance, encourages greater participation in sport, and organises and officiates in sporting events according to established rules."
34222,Martial arts instructor,Martial arts instructor trains individuals or groups in martial arts. He/she instructs clients during training and teaches students the techniques of martial arts.
34223,Physical fitness instructor (including yoga instructor and aerobics instructor),"Physical fitness instructor delivers fitness instruction to individuals, with the use of equipment, or to a group, through fitness classes. He/she also promotes and delivers safe and effective exercise."
34224,Sports official,"Sports official administers the rules and laws of a sport and ensures fair play according to the rules and laws. He/she applies rules/laws during the sport or activity, contributing to health, safety and protection of participants and others during the sport or activity, organises sport events, establishes and maintains effective working relationships with competitors and others."
34229,Other related instructors and associate professionals (e.g. adventure training instructor and scuba diving instructor),This group includes instructors and associate professionals not elsewhere classified.
34310,Photographer,"Photographer operates still cameras to photograph people, events, scenes, materials, products and other subjects."
34321,Interior designer,"Interior designer designs interior decoration and plans the furnishing of homes, public buildings, ships and other places. He/she studies the general requirements and confers with colleagues and clients to determine the style preferences, space limitations and other similar considerations. He/she also formulates appropriate designs, prepares sketches and models showing wall decorations, colour schemes and choice and arrangement of furnishings, and submits them for approval. He/she estimates quantities and costs of decorating materials and furnishings required, prepares working specifications and supervises decorating work and installation of furnishings."
34322,"Decorator and related associate professional (e.g. window dresser, set designer)","Decorator and related worker plans and creates decorations of homes, public buildings, ships and other places based on clients' requirements. He/she creates and executes decorations for set design, magazines, advertising and other purposes."
34323,Visual merchandiser,"Visual merchandiser manages shopper marketing activities and conceptualises the visual merchandising plans. He/she oversees the set-up of merchandise display by coaching in-store teams. He/she conducts market research efforts relating to visual merchandising. He/she also conceptualises eye-catching product displays, store layouts and designs to promote the store's products."
34331,Library officer,"Library officer assists librarians by helping readers in the use of library catalogues, databases, and indexes to locate books and other materials. He/she also compiles records, sorts and shelves books or other media, removes or repairs damaged books or other media, registers patrons and checks materials in and out of the circulation process. He/she replaces materials in shelving areas."
34332,"Gallery, museum and related technician","Gallery, museum and related technician restores, maintains, or prepares objects in museum or gallery collections for storage, research, or exhibition. He/she may work with artefacts, textiles, art or specimens such as fossils, skeletal parts, or botanicals. He/she may identify and record objects or install and arrange them in exhibits."
34341,Chef,"Chef oversees all the production of food served at the restaurant, banquet functions, and other outlets. He/she develops recipes and menus, monitors food quality and presentation, estimates food and labour costs, while maintaining the highest quality and sanitation standards. He/she may also monitor and control stock levels and liaise with the relevant suppliers for food orders. He/she supervises cooks and other workers engaged in food preparation and enforces proper implementation of health and safety procedures in the kitchen. He/she may prepare, season and cook speciality foods and complex dishes."
34342,Kitchen operations head/supervisor,"Kitchen operations head/supervisor oversees all operations in the central kitchen. He/she ensures production targets, portion sizing, product quality and specifications are reached. He/she also manages the production schedule and monitors the overall production output levels. He/she formulates new food production standards and Standard Operating Procedures (SOPs). He/she monitors quality assurance on an overall level through conducting spot checks, investigates production/quality issues in the kitchen and recommends solutions. He/she monitors and recommends ways to reduce waste production."
34343,Pastry Chef,"Pastry chef oversees all the production of pastry served at the restaurant, banquet functions, and other outlets. He/she creates new and exciting desserts to renew the menus and engage the interest of customers, and decorates pastries using different icings, toppings etc. He/she also monitors stocks for baking ingredients such as flour, sugar etc. and makes appropriate orders within budget, while checking the quality of materials and the condition of equipment and devices used for cooking."
34391,Tattooist,Tattooist decorates clients' skin through tattooing. He/she follows clients' preferences in terms of tattoo design and body surface and applies it safely. He/she advises on methods to avoid infection following the procedures on clients' bodies.
34399,Other artistic and cultural associate professionals n.e.c.,This group includes artistic and cultural associate professionals not elsewhere classified.
34401,Disc jockey,Disc jockey mixes music from various sources using turntables or a mixing console and plays music at events in front of a live audience. He/she creates mixes for later distribution and playback. He/she may select the music played on radio or live event and broadcast the music according to schedule.
34409,Other creative and performing arts associate professionals,This group includes creative and performing arts associate professionals not elsewhere classified.
35110,Computer systems operator,"Computer systems operator supports the day-to-day processing, operation and monitoring of information and communications technology systems, including local and wide area networks (LANs and WANs), and hardware, software and related computer equipment to ensure optimal performance and identify any problems."
35121,IT Infrastructure technician,"IT Infrastructure technician performs routine infrastructure operations and maintenance activities. He/she assists with monitoring infrastructure performance. He/she checks for problems in existing systems and modifies work processes by following defined procedures, processes and quality standards."
35122,IT security technician,"IT security technician checks for problems in existing systems and modifies simple work processes by following defined procedures, processes and quality standards. He/she monitors systems and supports the development of IT security solutions."
35123,IT support technician (including IT user helpdesk technician),"IT support technician provides technical support to end users on various technical issues and problems relating to hardware and software. He/she responds, documents and resolves service tickets in a timely manner and according to Service Level Agreements. He/she creates report templates and formats for analysis. He/she performs ad-hoc root cause analysis, develops checklists for common problems and defines methods for issue resolution and prevention."
35129,Other computer technicians,This group includes computer technicians not elsewhere classified.
35140,Website administrator/Webmaster,"Website administrator/Webmaster maintains, monitors and supports the optimal functioning of Internet and intranet website and web server hardware and software."
35211,Media and broadcasting operations technician,"Media and broadcasting operations technician installs, starts up, maintains, monitors and repairs equipment used for the transmission and reception of broadcast signals. He/she ensures that all materials are available in a suitable format of transmittable quality according to the transmission deadline."
35212,Video camera operator,"Video camera operator sets up, prepares, checks and maintains equipment in order to provide optimal projected image quality for a performance. He/she cooperates with road crew to unload, set up and operate video equipment and instruments."
35213,Television/Motion picture camera operator,"Television/Motion picture camera operator sets up and operates motion picture/television camera to film scenes. He/she positions camera, adjusts focus as necessary to maintain balance and composition of picture."
35214,Radio and television studio equipment operator,"Radio and television studio equipment operator operates radio and television broadcasting studio equipment, and sets up microphones and amplifiers for use in sound pickup. He/she controls video console to regulate transmission of television scenes."
35215,Sound engineering technician,"Sound engineering technician maintains and operates equipment to record, synchronise, mix, edit, or reproduce sound, including music, voices, or sound effects, for theater, video, film, television, podcasts, sporting events, and other productions."
35219,Other broadcasting technicians and audio-visual operators (e.g. microphone operator),This group includes broadcasting technicians and audio-visual operators not elsewhere classified.
